"","Country.Name","Country.Code","Region","Income.Group","Special.Notes","Year","Life.Expectancy","Fertility.Rate","Population"
"41","Cameroon","CMR","Sub-Saharan Africa","Lower middle income","",1960,41.5237561,5.647,5361367
"42","Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","Based on official government statistics; the new base year 2005.",1960,41.01804878,6.001,15248246
"43","Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.",1960,48.58163415,5.88,1013581
"44","Colombia","COL","Latin America & Caribbean","Upper middle income","",1960,56.7167561,6.807,16480384
"45","Comoros","COM","Sub-Saharan Africa","Low income","",1960,41.44243902,6.792,188732
"46","Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007. Value added is measured in basic prices.",1960,48.85641463,6.885,202316
"47","Costa Rica","CRI","Latin America & Caribbean","Upper middle income","National accounts are revised from 1991 to 2015 using SNA 2008 based on official government data. The new reference year is 2012.",1960,60.57619512,6.451,1333042
"49","Cuba","CUB","Latin America & Caribbean","Upper middle income","Based on official government statistics, the new reference year is 2005.",1960,63.90465854,4.182,7141129
"50","Curacao","CUW","Latin America & Caribbean","High income","",1960,NA,NA,124826
"51","Cayman Islands","CYM","Latin America & Caribbean","High income","",1960,NA,NA,7867
"52","Cyprus","CYP","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.59392683,3.5,572929
"53","Czech Republic","CZE","Europe & Central Asia","High income","",1960,70.34878049,2.09,9602006
"54","Germany","DEU","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.31295122,2.37,72814900
"55","Djibouti","DJI","Middle East & North Africa","Lower middle income","",1960,44.02126829,6.461,83636
"56","Dominica","DMA","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",1960,NA,NA,60016
"57","Denmark","DNK","Europe & Central Asia","High income","",1960,72.17658537,2.57,4579603
"58","Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","Based on data from the Central Bank of Dominican Republic, the new base year is 2007.",1960,51.84526829,7.555,3294039
"59","Algeria","DZA","Middle East & North Africa","Upper middle income","",1960,46.13512195,7.524,11124892
"65","Ecuador","ECU","Latin America & Caribbean","Upper middle income","National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.",1960,53.215,6.721,4545548
"66","Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2011/12.",1960,48.01370732,6.63,27072397
"68","Eritrea","ERI","Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",1960,37.36290244,6.899,1407631
"69","Spain","ESP","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.10926829,2.86,30455000
"70","Estonia","EST","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",1960,67.90597561,1.98,1211537
"71","Ethiopia","ETH","Sub-Saharan Africa","Low income","Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2010/11.",1960,38.40570732,6.88,22151218
"74","Finland","FIN","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,68.8197561,2.72,4429634
"75","Fiji","FJI","East Asia & Pacific","Upper middle income","National accounts have been revised from 2011 to 2015 based on the Fiji Bureau of Statistics and World Bank estimates. The new base year is 2011.",1960,55.9584878,6.461,393383
"76","France","FRA","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.86829268,2.85,46814237
"77","Faroe Islands","FRO","Europe & Central Asia","High income","",1960,NA,NA,34266
"78","Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.",1960,57.58658537,6.934,44539
"79","Gabon","GAB","Sub-Saharan Africa","Upper middle income","Based on IMF data and official government statistics; the new base year is 2001.",1960,39.57012195,4.384,499189
"80","United Kingdom","GBR","Europe & Central Asia","High income","",1960,71.12682927,2.69,52400000
"81","Georgia","GEO","Europe & Central Asia","Upper middle income","Value added data in constant prices before 2007 have been temporarily removed until revised series become available. Constant price expenditure estimates before 2011 have been deleted.",1960,63.43185366,2.964,3645600
"82","Ghana","GHA","Sub-Saharan Africa","Lower middle income","In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",1960,45.83146341,6.749,6652285
"83","Gibraltar","GIB","Europe & Central Asia","High income","",1960,NA,NA,21529
"84","Guinea","GIN","Sub-Saharan Africa","Low income","",1960,34.88639024,6.114,3577413
"85","Gambia, The","GMB","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.",1960,32.04221951,5.573,367929
"86","Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",1960,37.84043902,5.921,616407
"87","Equatorial Guinea","GNQ","Sub-Saharan Africa","Upper middle income","National accounts have been revised from 1980 onward based on IMF data and official government statistics; the new base year is 2006.",1960,36.73304878,5.505,252115
"88","Greece","GRC","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,68.16390244,2.23,8331725
"89","Grenada","GRD","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",1960,59.81592683,6.743,89861
"90","Greenland","GRL","Europe & Central Asia","High income","",1960,NA,NA,32500
"91","Guatemala","GTM","Latin America & Caribbean","Lower middle income","",1960,45.53163415,6.534,4127555
"92","Guam","GUM","East Asia & Pacific","High income","",1960,61.22634146,6.052,66741
"93","Guyana","GUY","Latin America & Caribbean","Upper middle income","In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",1960,60.27873171,5.754,564222
"95","Hong Kong SAR, China","HKG","East Asia & Pacific","High income","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",1960,66.99970732,5.162,3075605
"96","Honduras","HND","Latin America & Caribbean","Lower middle income","",1960,46.28831707,7.458,2002333
"98","Croatia","HRV","Europe & Central Asia","High income","The new reference year for chain linked series is 2010. April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.",1960,64.60865854,2.332,4140000
"99","Haiti","HTI","Latin America & Caribbean","Low income","Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",1960,42.10009756,6.324,3866160
"100","Hungary","HUN","Europe & Central Asia","High income","April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",1960,68.00317073,2.02,9983967
"105","Indonesia","IDN","East Asia & Pacific","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The new base year is 2010. Price valuation is in basic prices.",1960,48.64031707,5.666,87792512
"107","Isle of Man","IMN","Europe & Central Asia","High income","The new base year is 2013.",1960,NA,NA,48441
"108","India","IND","South Asia","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.",1960,41.17195122,5.906,449661874
"109","Ireland","IRL","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.6917561,3.78,2828600
"110","Iran, Islamic Rep.","IRN","Middle East & North Africa","Upper middle income","Fiscal year end: March 20; reporting period for national accounts data: FY. Based on data from the Central Bank of Iran, the new base year is 2004/05.",1960,44.9455122,6.927,21906905
"111","Iraq","IRQ","Middle East & North Africa","Upper middle income","Based on official government statistics, the new base year is 2007.",1960,48.03068293,6.252,7289759
"112","Iceland","ISL","Europe & Central Asia","High income","",1960,73.42865854,4.29,175574
"113","Israel","ISR","Middle East & North Africa","High income","Based on official government statistics for chain linked series; the new reference year is 2010.",1960,NA,3.866,2114020
"114","Italy","ITA","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.12390244,2.37,50199700
"115","Jamaica","JAM","Latin America & Caribbean","Upper middle income","April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.",1960,64.30807317,5.419,1629003
"116","Jordan","JOR","Middle East & North Africa","Upper middle income","",1960,52.68526829,7.687,888632
"117","Japan","JPN","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.",1960,67.66609756,2.001,92500572
"118","Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","The new reference year for chain linked series is 2005.",1960,58.36758537,4.563,9714260
"119","Kenya","KEN","Sub-Saharan Africa","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2009.",1960,46.36241463,7.946,8105440
"120","Kyrgyz Republic","KGZ","Europe & Central Asia","Lower middle income","",1960,56.12807317,5.166,2172300
"121","Cambodia","KHM","East Asia & Pacific","Lower middle income","",1960,41.23202439,6.967,5722370
"122","Kiribati","KIR","East Asia & Pacific","Lower middle income","Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",1960,49.21597561,6.788,41234
"123","St. Kitts and Nevis","KNA","Latin America & Caribbean","High income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",1960,NA,NA,51197
"124","Korea, Rep.","KOR","East Asia & Pacific","High income","The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.",1960,53.00131707,6.155,25012374
"125","Kuwait","KWT","Middle East & North Africa","High income","Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2010.",1960,60.40019512,7.243,261962
"127","Lao PDR","LAO","East Asia & Pacific","Lower middle income","",1960,43.20446341,5.961,2119944
"128","Lebanon","LBN","Middle East & North Africa","Upper middle income","The new reference year is 2010.",1960,63.28012195,5.739,1804927
"129","Liberia","LBR","Sub-Saharan Africa","Low income","National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars.",1960,34.78317073,6.406,1120314
"130","Libya","LBY","Middle East & North Africa","Upper middle income","Official statistics for Libya are not available; national accounts data are based on World Bank estimates. The new base year is 2003.",1960,42.64119512,7.202,1434576
"131","St. Lucia","LCA","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",1960,57.3037561,6.967,89901
"135","Liechtenstein","LIE","Europe & Central Asia","High income","National accounts from 2013 to 2014 are revised according to the SNA 2008.",1960,NA,NA,16504
"136","Sri Lanka","LKA","South Asia","Lower middle income","Bureau of Census and Statistics revised national accounts from 2010-2015. Value added is in basic prices; prior to 2010 in producer prices. The new base year is 2010.",1960,59.74714634,5.541,9896000
"139","Lesotho","LSO","Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2012.",1960,46.51070732,5.839,851412
"141","Lithuania","LTU","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",1960,69.84731707,2.56,2778550
"142","Luxembourg","LUX","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,68.44639024,2.29,313970
"143","Latvia","LVA","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",1960,69.78682927,1.94,2120979
"144","Macao SAR, China","MAC","East Asia & Pacific","High income","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",1960,64.66092683,4.945,171456
"145","St. Martin (French part)","MAF","Latin America & Caribbean","High income","",1960,NA,NA,4279
"146","Morocco","MAR","Middle East & North Africa","Lower middle income","Based on data from the Moroccan Haut Commissariat au Plan, the new base year is 2007.",1960,48.44663415,7.065,12328534
"147","Monaco","MCO","Europe & Central Asia","High income","",1960,NA,NA,22454
"148","Moldova","MDA","Europe & Central Asia","Lower middle income","Due to data reliability issues estimates prior to 1995 have been deleted. The new base year is 2000.",1960,61.81278049,3.328,2544000
"149","Madagascar","MDG","Sub-Saharan Africa","Low income","",1960,39.97468293,7.3,5099371
"150","Maldives","MDV","South Asia","Upper middle income","April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.",1960,37.26863415,7.021,89875
"152","Mexico","MEX","Latin America & Caribbean","Upper middle income","The new base year is 2008.",1960,57.06563415,6.768,38174114
"153","Marshall Islands","MHL","East Asia & Pacific","Upper middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY.",1960,NA,NA,14665
"155","Macedonia, FYR","MKD","Europe & Central Asia","Upper middle income","Based on revisions by the Macedonia State Statistics Office, the new base year is 2005.",1960,60.62280488,3.842,1488664
"156","Mali","MLI","Sub-Saharan Africa","Low income","The new base year is 1999.",1960,28.21160976,6.967,5263730
"157","Malta","MLT","Middle East & North Africa","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010.",1960,67.60178049,3.62,326550
"158","Myanmar","MMR","East Asia & Pacific","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: FY. Based on the government‰Ûªs Planning Department and the IMF national accounts have been revised from 2010 to 2015. The new base year is 2010.",1960,42.73639024,6.051,21486424
"160","Montenegro","MNE","Europe & Central Asia","Upper middle income","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",1960,63.70560976,3.603,480579
"161","Mongolia","MNG","East Asia & Pacific","Lower middle income","Based on data revised by the National Statistics Office of Mongolia, the new base year is 2010.",1960,48.36880488,6.953,955514
"162","Northern Mariana Islands","MNP","East Asia & Pacific","High income","",1960,NA,NA,10070
"163","Mozambique","MOZ","Sub-Saharan Africa","Low income","Based on official government statistics; the new base year is 2009.",1960,35.00370732,6.6,7493278
"164","Mauritania","MRT","Sub-Saharan Africa","Lower middle income","Based on official statistics from the Ministry of Economic Affairs and Development; the base year has been returned to 2004.",1960,43.48309756,6.775,858170
"165","Mauritius","MUS","Sub-Saharan Africa","Upper middle income","Authorities made significant revisions to the national accounts from 2006 to 2015.",1960,58.74521951,6.167,659351
"166","Malawi","MWI","Sub-Saharan Africa","Low income","Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010.",1960,37.77363415,6.94,3618604
"167","Malaysia","MYS","East Asia & Pacific","Upper middle income","Based on data from the Malaysian Department of Statistics and Bank Negara Malaysia, the new base year is 2010.",1960,59.47534146,6.194,8160975
"169","Namibia","NAM","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 1980 onward; the new base year is 2010.",1960,46.88039024,6.15,602545
"170","New Caledonia","NCL","East Asia & Pacific","High income","",1960,58.63902439,6.278,79000
"171","Niger","NER","Sub-Saharan Africa","Low income","Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.",1960,35.51504878,7.407,3395212
"172","Nigeria","NGA","Sub-Saharan Africa","Lower middle income","Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology. Nigeria reports using SNA 2008.",1960,37.18295122,6.354,45211614
"173","Nicaragua","NIC","Latin America & Caribbean","Lower middle income","April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.",1960,46.99882927,7.336,1774696
"174","Netherlands","NLD","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,73.39268293,3.12,11486631
"175","Norway","NOR","Europe & Central Asia","High income","",1960,73.5497561,2.85,3581239
"176","Nepal","NPL","South Asia","Low income","Fiscal year end: July 14; reporting period for national accounts data: FY.",1960,35.17082927,5.959,10056945
"177","Nauru","NRU","East Asia & Pacific","High income","",1960,NA,NA,4433
"178","New Zealand","NZL","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.",1960,71.23658537,4.129,2371800
"180","Oman","OMN","Middle East & North Africa","High income","National Center for Statistics and Information revised national accounts from 2011 to 2015 based on the SNA 2008. Value added is in basic prices; and before 2011 in producer prices.",1960,42.66707317,7.247,551737
"182","Pakistan","PAK","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.",1960,45.29046341,6.6,44911810
"183","Panama","PAN","Latin America & Caribbean","Upper middle income","Based on government statistics national accounts have been revised from 2014.",1960,60.88170732,5.87,1132924
"184","Peru","PER","Latin America & Caribbean","Upper middle income","The new base year is 2007.",1960,47.69158537,6.971,10061519
"185","Philippines","PHL","East Asia & Pacific","Lower middle income","Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",1960,57.81192683,7.148,26273023
"186","Palau","PLW","East Asia & Pacific","Upper middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.",1960,NA,NA,9638
"187","Papua New Guinea","PNG","East Asia & Pacific","Lower middle income","",1960,38.4622439,6.275,1966957
"188","Poland","POL","Europe & Central Asia","High income","",1960,67.6804878,2.98,29637450
"190","Puerto Rico","PRI","Latin America & Caribbean","High income","Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de EstadÌ_sticas de Puerto Rico, national accounts data were revised for 2001 onward.",1960,68.71960976,4.657,2358000
